Date,Company,Amount,Exchange,Segment,Scrip Code,Instrument Type,Strike Price,Expiry,Trade Num,Trade Time,Side,Quantity,Price
31-01-2025,ZYDUS WELL,"?3,680.90",NSE,EQ,531335,Equity,0,,601954636,09:57:20,Buy,2,"?1,840.45"
31-01-2025,ZYDUS WELL,"?1,839.95",NSE,EQ,531335,Equity,0,,601954635,09:57:20,Buy,1,"?1,839.95"
31-01-2025,ZYDUS WELL,"?20,266.40",NSE,EQ,531335,Equity,0,,601954647,09:57:20,Buy,11,"?1,842.40"
31-01-2025,ZYDUS WELL,"?1,841.95",NSE,EQ,531335,Equity,0,,601954646,09:57:20,Buy,1,"?1,841.95"
31-01-2025,ZYDUS WELL,"?1,841.95",NSE,EQ,531335,Equity,0,,601954645,09:57:20,Buy,1,"?1,841.95"
31-01-2025,ZYDUS WELL,"?1,841.95",NSE,EQ,531335,Equity,0,,601954644,09:57:20,Buy,1,"?1,841.95"
31-01-2025,ZYDUS WELL,"?1,841.90",NSE,EQ,531335,Equity,0,,601954643,09:57:20,Buy,1,"?1,841.90"
31-01-2025,ZYDUS WELL,"?1,841.90",NSE,EQ,531335,Equity,0,,601954642,09:57:20,Buy,1,"?1,841.90"
31-01-2025,ZYDUS WELL,"?3,683.70",NSE,EQ,531335,Equity,0,,601954641,09:57:20,Buy,2,"?1,841.85"
31-01-2025,ZYDUS WELL,"?1,841.00",NSE,EQ,531335,Equity,0,,601954640,09:57:20,Buy,1,"?1,841.00"
31-01-2025,ZYDUS WELL,"?1,841.00",NSE,EQ,531335,Equity,0,,601954639,09:57:20,Buy,1,"?1,841.00"
31-01-2025,ZYDUS WELL,"?1,840.95",NSE,EQ,531335,Equity,0,,601954638,09:57:20,Buy,1,"?1,840.95"
31-01-2025,ZYDUS WELL,"?1,840.50",NSE,EQ,531335,Equity,0,,601954637,09:57:20,Buy,1,"?1,840.50"
27-01-2025,ZYDUS WELL,"?19,162.55",BSE,EQ,531335,Equity,0,,2664400,10:19:43,Sell,11,"?1,742.05"
27-01-2025,ZYDUS WELL,"?15,690.15",BSE,EQ,531335,Equity,0,,2664100,10:19:43,Sell,9,"?1,743.35"
27-01-2025,ZYDUS WELL,"?8,717.50",BSE,EQ,531335,Equity,0,,2663900,10:19:43,Sell,5,"?1,743.50"
27-01-2025,ASIAN PAINTS,"?18,146.00",NSE,EQ,500820,Equity,0,,5411716,12:34:06,Buy,8,"?2,268.25"
27-01-2025,N100,"?21,039.00",NSE,EQ,533385,Equity,0,,407172817,12:34:05,Buy,100,?210.39
27-01-2025,NIP IND ETF MIDCAP 150,"?39,596.00",NSE,EQ,MID150BEES,Equity,0,,407172814,12:34:05,Buy,200,?197.98
27-01-2025,VARUN BEVERAGES LIMITED,"?6,387.00",NSE,EQ,540180,Equity,0,,606627006,12:34:51,Buy,12,?532.25
27-01-2025,COAL INDIA,"?31,069.80",NSE,EQ,533278,Equity,0,,4239113,11:27:15,Sell,82,?378.90
27-01-2025,NMDC LTD,"?3,570.60",NSE,EQ,526371,Equity,0,,403695244,10:23:47,Sell,55,?64.92
27-01-2025,NMDC LTD,?324.60,NSE,EQ,526371,Equity,0,,403694985,10:23:46,Sell,5,?64.92
27-01-2025,TATA MOTORS,"?12,987.00",NSE,EQ,500570,Equity,0,,603038354,10:13:58,Sell,18,?721.50
27-01-2025,TATA MOTORS,"?42,568.50",NSE,EQ,500570,Equity,0,,603038353,10:13:58,Sell,59,?721.50
27-01-2025,TATA ELXSI,"?24,860.00",NSE,EQ,500408,Equity,0,,602871418,10:09:13,Sell,4,"?6,215.00"
27-01-2025,JK TYRE IND,"?33,226.50",NSE,EQ,530007,Equity,0,,403706826,10:24:06,Sell,102,?325.75
27-01-2025,NMDC LTD,"?23,630.88",NSE,EQ,526371,Equity,0,,403694931,10:23:46,Sell,364,?64.92
27-01-2025,NMDC LTD,"?5,907.72",NSE,EQ,526371,Equity,0,,403694771,10:23:46,Sell,91,?64.92
27-01-2025,TATA MOTORS,"?29,356.00",NSE,EQ,500570,Equity,0,,603416102,10:23:16,Sell,41,?716.00
27-01-2025,RATNAMA META(BSE INDONEXT),"?41,999.25",NSE,EQ,520111,Equity,0,,603210180,10:18:06,Sell,15,"?2,799.95"
